,AUC [rel.],CAT [rel.],AUC [nmol/mg DW],CAT [nmol/mg DW],AUC [mg/mg DW],CAT [mg/mg DW],AUC [% DW],CAT [% DW]
dry_0_9,0.622717389,0.167106672,132.235,38.02,0.046,0.014,4.58,1.378
dry_0_10,0.249103243,0.23173823,52.898,52.725,0.018,0.019,1.832,1.91
dry_0_29,0.391564164,0.066450692,83.149,15.119,0.029,0.005,2.88,0.548
dry_0_30,0.424450859,0.303831315,90.133,69.128,0.031,0.025,3.122,2.505
dry_0_31,0.266825637,0.50596229,56.661,115.117,0.02,0.042,1.962,4.171
dry_0_32,0.881213453,0.278024069,187.127,63.256,0.065,0.023,6.481,2.292
dry_1_11,0.458861861,0.257207204,97.44,58.52,0.034,0.021,3.375,2.12
dry_1_12,0.499469456,0.167141001,106.063,38.028,0.037,0.014,3.673,1.378
dry_1_25,0.289818313,0.094502702,61.543,21.501,0.021,0.008,2.131,0.779
dry_1_26,0.306836933,0.08550927,65.157,19.455,0.023,0.007,2.257,0.705
dry_1_27,0.541114178,0.260230663,114.907,59.208,0.04,0.021,3.98,2.145
dry_1_28,0.512508765,0.148505775,108.832,33.788,0.038,0.012,3.769,1.224
dry_2_13,0.376520524,0.346548175,79.955,78.847,0.028,0.029,2.769,2.857
dry_2_14,0.494266235,0.494234208,104.958,112.448,0.036,0.041,3.635,4.074
dry_2_21,0.211979821,0.110648578,45.014,25.175,0.016,0.009,1.559,0.912
dry_2_22,0.569567718,0.121031817,120.949,27.537,0.042,0.01,4.189,0.998
dry_2_23,0.524272205,0.228526928,111.33,51.994,0.039,0.019,3.856,1.884
dry_2_24,0.180548097,0.05210019,38.34,11.854,0.013,0.004,1.328,0.43
dry_4_15,0.150708659,0.047281188,32.003,10.757,0.011,0.004,1.108,0.39
dry_4_16,0.234425855,0.244042366,49.781,55.525,0.017,0.02,1.724,2.012
dry_4_17,0.124189055,0.136792655,26.372,31.123,0.009,0.011,0.913,1.128
dry_4_18,0.328702495,0.112631396,69.801,25.626,0.024,0.009,2.417,0.929
dry_4_19,0.461298539,0.075552642,97.958,17.19,0.034,0.006,3.393,0.623
dry_4_20,0.21363557,0.075675766,45.366,17.218,0.016,0.006,1.571,0.624
ambient_0_1,0.4342455,0.411782212,92.213,93.689,0.032,0.034,3.194,3.395
ambient_0_2,0.292855423,0.382863186,62.188,87.109,0.022,0.032,2.154,3.156
ambient_0_39,0.484987826,0.33126815,102.988,75.37,0.036,0.027,3.567,2.731
ambient_0_40,0.548916797,0.043370933,116.564,9.868,0.04,0.004,4.037,0.358
ambient_0_41,0.342743116,0.319211651,72.782,72.627,0.025,0.026,2.521,2.631
ambient_0_42,0.354039815,0.21593713,75.181,49.13,0.026,0.018,2.604,1.78
ambient_1_3,0.156726079,0.294329743,33.281,66.966,0.012,0.024,1.153,2.426
ambient_1_4,0.236982371,0.077977324,50.324,17.741,0.017,0.006,1.743,0.643
ambient_1_43,0.234788595,0.254344785,49.858,57.869,0.017,0.021,1.727,2.097
ambient_1_44,0.343200215,0.43116534,72.879,98.099,0.025,0.036,2.524,3.554
ambient_2_5,0.252379389,0.220623912,53.593,50.196,0.019,0.018,1.856,1.819
ambient_2_6,0.456829326,0.264657487,97.009,60.215,0.034,0.022,3.36,2.182
ambient_2_35,0.275474637,0.323637906,58.498,73.634,0.02,0.027,2.026,2.668
ambient_2_36,0.413409967,0.392024491,87.788,89.193,0.03,0.032,3.04,3.232
ambient_2_45,0.367218894,0.406191472,77.98,92.417,0.027,0.033,2.701,3.349
ambient_2_46,0.190836564,0.60501556,40.525,137.653,0.014,0.05,1.404,4.988
ambient_4_7,0.22110388,0.26442872,46.952,60.163,0.016,0.022,1.626,2.18
ambient_4_8,0.265807522,0.257576858,56.445,58.604,0.02,0.021,1.955,2.123
ambient_4_33,0.208046941,0.289365954,44.179,65.837,0.015,0.024,1.53,2.385
ambient_4_34,0.230248005,0.395171645,48.894,89.909,0.017,0.033,1.693,3.258
ambient_4_47,0.169989351,0.162821452,36.098,37.045,0.013,0.013,1.25,1.342
ambient_4_48,0.335880259,0.804973019,71.325,183.147,0.025,0.066,2.47,6.636
