,MALO,SUCC,FUM,MAL,CIT,FRC,GLC,SOR,INO,SUC,AUC,CAT
dry_0_9,0.05045346,0.009898312,0.074363494,0.079472591,0.009121135,0.098118092,0.4449127,0.596525382,0.020587319,0.147934042,0.622717389,0.167106672
dry_0_10,0.028554328,0.010364416,0.108352705,0.052155251,0.003088853,0.152586123,0.692171999,0.870376133,0.024857338,0.144001962,0.249103243,0.23173823
dry_0_29,0.021558805,0.004365255,0.03161645,0.091786728,0.00875501,0.119744368,0.763727649,1.125647691,0.02403136,0.075569133,0.391564164,0.066450692
dry_0_30,0.03097586,0.011326729,0.064472016,0.167918913,0.020137334,0.040967333,0.219829088,0.729262752,0.021447554,0.148309422,0.424450859,0.303831315
dry_0_31,0.023491785,0.005953412,0.091629843,0.111527115,0.009504722,0.046197271,0.307605216,1.190252611,0.01973742,0.117815353,0.266825637,0.50596229
dry_0_32,0.0280056,0.023030722,0.115510658,0.175741524,0.039247224,0.023956884,0.125553463,0.634248291,0.015426667,0.131058505,0.881213453,0.278024069
dry_1_11,0.026734297,0.008179196,0.131706559,0.070797966,0.007172718,0.093230721,0.209760769,0.635889142,0.012248956,0.190130281,0.458861861,0.257207204
dry_1_12,0.018659389,0.036672296,0.197916406,0.077622254,0.01129029,0.033695655,0.137477305,0.319122884,0.024840249,0.170415709,0.499469456,0.167141001
dry_1_25,0.039896857,0.009466369,0.01884589,0.192974967,0.010481001,0.042493807,0.450331409,1.078763575,0.01465815,0.112751251,0.289818313,0.094502702
dry_1_26,0.022155124,0.004203213,0.013666327,0.141636054,0.014821858,0.049443063,0.234631563,0.827016364,0.014059349,0.096240879,0.306836933,0.08550927
dry_1_27,0.007458992,0.004428844,0.015838235,0.107546548,0.019792944,0.039706577,0.188069606,0.873202021,0.013303772,0.104626313,0.541114178,0.260230663
dry_1_28,0.025945937,0.008110838,0.042673499,0.199496214,0.013975373,0.079794738,0.365241683,0.907953741,0.018509615,0.100823376,0.512508765,0.148505775
dry_2_13,0.034864696,0.023076331,0.08505158,0.209281228,0.020071859,0.056392266,0.190799486,0.768853298,0.014960327,0.124428154,0.376520524,0.346548175
dry_2_14,0.032119224,0.009804658,0.069772784,0.055815238,0.004392026,0.088577145,0.393685216,1.112288524,0.02383053,0.151237709,0.494266235,0.494234208
dry_2_21,0.024364285,0.002503847,0.007879463,0.084729083,0.0146134,0.045266141,0.258677868,0.758699581,0.015780802,0.146384586,0.211979821,0.110648578
dry_2_22,0.014790901,0.005254555,0.022794838,0.145912604,0.011459489,0.03877015,0.246750405,1.235958041,0.013323614,0.110005799,0.569567718,0.121031817
dry_2_23,0.015415477,0.005655204,0.033209832,0.093244311,0.008714682,0.045181517,0.195458798,1.098258249,0.016280719,0.150889177,0.524272205,0.228526928
dry_2_24,0.020204501,0.009943888,0.030178148,0.326962173,0.03099228,0.067366758,0.539486735,1.692006288,0.015849001,0.122132539,0.180548097,0.05210019
dry_4_15,0.024189625,0.008045075,0.030012382,0.169561094,0.006360707,0.187738571,0.599042794,2.067773741,0.034712898,0.149419191,0.150708659,0.047281188
dry_4_16,0.028768445,0.012998989,0.039016274,0.113367096,0.011527843,0.043850593,0.425674909,0.818563715,0.017570741,0.10461165,0.234425855,0.244042366
dry_4_17,0.04183642,0.010557168,0.024909089,0.31367341,0.029165577,0.03753062,0.163400753,1.329075724,0.015304531,0.14207348,0.124189055,0.136792655
